AnimalID	MotherID	FatherID
AA4136	AA2269	AA1356
AA4137	AA1457	AA1243
AA4138	AA1571	AA1585
AA4139	AA1672	AA2075
AA4140	AA1672	AA2075
AA4141	AA2263	AA2237
AA4142	AA2071	AA2178
AA4143	AA2071	AA2178
AA4147	AA2143	AA2088
AA4148	AA1489	AA1603
AA4149	AA1489	AA1603
AA4150	AA1437	AA1451
AA4151	AA1654	AA2232
AA4152	AA2245	AA2100
AA4153	AA1672	AA2075
AA4154	AA1654	AA2232
AA4155	AA1666	AA2234
AA4156	AA2071	AA2178
AA4157	AA2263	AA2237
AA4158	AA2263	AA2237
AA4159	AA1439	AA1459
AA4160	AA1439	AA1459
AA4161	AA1439	AA1459
AA4162	AA1447	AA2236
AA4163	AA1571	AA1585
AA4164	AA1544	AA1472
AA4165	AA2143	AA2088
AA4166	AA1437	AA1451
AA4167	AA2239	AA2252
AA4168	AA1604	AA1501
AA4169	AA1456	AA1384
AA4170	AA1604	AA1501
AA4171	AA2241	AA2085
AA4172	AA2071	AA2178
AA4173	AA1542	AA2006
AA4174	AA1571	AA1585
AA4175	AA1457	AA1243
AA4176	AA1544	AA1472
AA4177	AA2246	AA2234
AA4178	AA2246	AA2234
AA4179	AA2245	AA2100
AA4180	AA2263	AA2237
AA4181	AA1432	AA1533
AA4182	AA1489	AA1603
AA4183	AA2143	AA2088
AA4184	AA1457	AA1243
AA4185	AA1457	AA1243
AA4186	AA1489	AA1603
AA4187	AA2184	AA2176
AA4188	AA1527	AA1219
AA4189	AA1425	AA1337
AA4190	AA1672	AA2075
AA4191	AA1604	AA1501
AA4195	AA1544	AA1472
AA4196	AA1457	AA1243
AA4197	AA1425	AA1337
AA4201	AA1457	AA1243
AA4202	AA1669	AA2250
AA4203	AA2120	AA2247
AA4204	AA1604	AA1501
AA4205	AA1425	AA1337
AA4206	AA2071	AA2178
AA4209	AA1432	AA1533
AA4210	AA1527	AA1219
AA4211	AA1425	AA1337
AA4212	AA2271	AA2225
AA4213	AA2058	AA2073
AA4217	AA2058	AA2073
AA4220	AA1544	AA1472
AA4221	AA2120	AA2247
AA4222	AA2248	AA2152
AA4223	AA2120	AA2247
AA4224	AA2248	AA2152
AA4225	AA2248	AA2152
AA4226	AA2244	AA2141
AA4227	AA1432	AA1533
AA4228	AA2222	AA2149
AA4229	AA2271	AA2225
AA4230	AA2222	AA2149
AA4231	AA2120	AA2247
AA4233	AA2271	AA2225
AA4239	AA1572	AA1301
AA4240	AA2248	AA2152
AA4241	AA2244	AA2141
AA4242	AA1572	AA1301
AA4243	AA1427	AA1558
AA4244	AA1427	AA1558
AA4245	AA1442	AA1627
AA4248	AA2111	AA2072
AA4249	AA1427	AA1558
AA4254	AA1572	AA1301
AA4255	AA1652	AA2171
AA4256	AA1427	AA1558
AA4257	AA1442	AA1627
AA4258	AA2111	AA2072
AA4259	AA1502	AA1627
AA4260	AA1523	AA1333
AA4261	AA1503	AA1379
AA4262	AA2137	AA2096
AA4263	AA2244	AA2141
AA4272	AA2137	AA2096
AA4273	AA2244	AA2141
AA4274	AA1509	AA1458
AA4275	AA1654	AA2232
AA4276	AA1654	AA2232
AA4281	AA2137	AA2096
AA4282	AA1432	AA1533
AA4283	AA1457	AA1243
AA4284	AA1457	AA1243
AA4285	AA2244	AA2141
AA4291	AA1571	AA1585
AA4292	AA1571	AA1585
AA4293	AA1571	AA1585
AA4294	AA1457	AA1243
AA4295	AA2269	AA1356
AA4297	AA2269	AA1356
AA4301	AA1457	AA1243
AA4302	AA2267	AA2086
AA4303	AA1544	AA1472
AA4304	AA1425	AA1337
AA4305	AA1425	AA1337
AA4306	AA1613	AA1363
AA4307	AA2267	AA2086
AA4312	AA1544	AA1472
AA4313	AA2253	AA2069
AA4314	AA1456	AA1384
AA4315	AA2253	AA2069
AA4316	AA2253	AA2069
AA4318	AA2253	AA2069
AA4319	AA1425	AA1337
AA4324	AA1456	AA1384
AA4325	AA1456	AA1384
AA4334	AA2144	AA2085
AA4335	AA2244	AA2141
AA4336	AA1439	AA1459
AA4337	AA2269	AA1356
AA4338	AA2144	AA2085
AA4339	AA1544	AA1472
AA4344	AA2269	AA1356
AA4345	AA1572	AA1301
AA4346	AA1544	AA1472
AA4347	AA1544	AA1472
AA4348	AA2244	AA2141
AA4349	AA1654	AA2232
AA4350	AA2267	AA2086
AA4356	AA2146	AA2195
AA4357	AA1425	AA1337
AA4358	AA2146	AA2195
AA4359	AA2267	AA2086
AA4360	AA1425	AA1337
AA4361	AA1654	AA2232
AA4362	AA2267	AA2086
AA4364	AA1544	AA1472
AA4365	AA1544	AA1472
AA4366	AA2244	AA2141
AA4367	AA1544	AA1472
AA4368	AA1654	AA2232
AA4370	AA1654	AA2232
AA4371	AA2267	AA2086
AA4372	AA2143	AA2088
AA4373	AA2143	AA2088
AA4376	AA1425	AA1337
AA4377	AA1654	AA2232
AA4378	AA1654	AA2232
AA4379	AA2071	AA2178
AA4380	AA1613	AA1363
AA4381	AA1425	AA1337
AA4382	AA1613	AA1363
AA4383	AA1652	AA2171
AA4384	AA1437	AA1451
AA4385	AA1652	AA2171
